Commander_ID,Rank,Last_Name,FirstName,email,Squadron_ID,phone_number,,,"***DATA PROTECTED VIA PRIVACY ACT, NAMES and NUMBERS RANDOMIZED***"
22,Maj,Vexleigh,Vexor,vexor.vexleigh@us.af.mil,34,(505) 846-4358,,,
43,Maj,Quellborn,Quillan,quillan.quellborn@us.af.mil,35,(505) 853-6584,,,
52,Maj,Zephrain,Zorric,zorric.zephrain@us.af.mil,35,(505) 846-1979,,,
35,Capt,Ingramson,Ilthian,ilthian.ingramson@us.af.mil,36,(505) 853-5292,,,
24,Lt Col,Xandrell,Xyrel,xyrel.xandrell@us.af.mil,37,(505) 853-5051,,,
29,Lt Col,Cindrell,Cassira,cassira.cindrell@us.af.mil,38,(505) 853-2083,,,
15,Lt Col,Ormsley,Orynth,orynth.ormsley@us.af.mil,39,(505) 853-5457,,,
27,Capt,Ashthorn,Arlian,arlian.ashthorn@us.af.mil,39,(505) 846-6361,,,
13,Maj,Merrowind,Myndell,myndell.merrowind@us.af.mil,40,(505) 846-7029,,,
61,Maj,Islington,Ivaris,ivaris.islington@us.af.mil,41,(505) 846-4469,,,
14,Capt,Norcott,Norisca,norisca.norcott@us.af.mil,42,(505) 853-1489,,,
18,Capt,Rathmoor,Rhyden,rhyden.rathmoor@us.af.mil,43,(505) 846-3887,,,
