INSERT INTO Commanders VALUES ('1', 'Gen', 'Avenforth', 'Alvian', 'alvian.avenforth@us.af.mil', '(505) 846-7165');
INSERT INTO Commanders VALUES ('54', 'Capt', 'Bellhaven', 'Brielleth', 'brielleth.bellhaven@us.af.mil', '(505) 853-8522');
INSERT INTO Commanders VALUES ('55', 'Maj', 'Crestmoore', 'Caelus', 'caelus.crestmoore@us.af.mil', '(505) 853-6950');
INSERT INTO Commanders VALUES ('56', 'Lt Col', 'Dovenshire', 'Dravion', 'dravion.dovenshire@us.af.mil', '(505) 853-2986');
INSERT INTO Commanders VALUES ('57', 'Capt', 'Elverston', 'Eldira', 'eldira.elverston@us.af.mil', '(505) 846-6696');
INSERT INTO Commanders VALUES ('58', 'Maj', 'Fairchild', 'Fenrin', 'fenrin.fairchild@us.af.mil', '(505) 853-2764');
INSERT INTO Commanders VALUES ('59', 'Lt Col', 'Glanmore', 'Griselda', 'griselda.glanmore@us.af.mil', '(505) 846-9303');
INSERT INTO Commanders VALUES ('60', 'Capt', 'Haldridge', 'Halric', 'halric.haldridge@us.af.mil', '(505) 853-6873');
INSERT INTO Commanders VALUES ('61', 'Maj', 'Islington', 'Ivaris', 'ivaris.islington@us.af.mil', '(505) 846-4469');
INSERT INTO Commanders VALUES ('62', 'Capt', 'Jorhaven', 'Jorren', 'jorren.jorhaven@us.af.mil', '(505) 853-6953');
INSERT INTO Commanders VALUES ('63', 'Lt Col', 'Kenwick', 'Kethira', 'kethira.kenwick@us.af.mil', '(505) 846-5062');
INSERT INTO Commanders VALUES ('64', 'Maj', 'Smith', 'James', 'james.smith@us.af.mil', '(505) 846-2265');
INSERT INTO Commanders VALUES ('65', 'Lt Col ', 'Johnson', 'Olivia', 'olivia.johnson@us.af.mil', '(505) 853-4655');
INSERT INTO Commanders VALUES ('66', 'Capt', 'Brown', 'Liam', 'liam.brown@us.af.mil', '(505) 846-5829');
INSERT INTO Commanders VALUES ('67', 'Maj', 'Davis', 'Emma', 'emma.davis@us.af.mil', '(505) 846-1343');
INSERT INTO Commanders VALUES ('68', 'Lt Col', 'Wilson', 'Noah', 'noah.wilson@us.af.mil', '(505) 846-2837');
